Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards
Marco Reus,Borussia Dortmund,GER,"MF,FW",31,32,27,2279,8,6,0,2,0.4,0.32,1,0
Manuel Akanji,Borussia Dortmund,SUI,DF,25,28,26,2350,2,0,0,0,0.07,0.0,4,0
Raphaël Guerreiro,Borussia Dortmund,POR,DF,26,27,25,2218,5,10,0,0,0.16,0.28,1,0
Jadon Sancho,Borussia Dortmund,ENG,"FW,MF",20,26,24,2062,8,11,1,1,0.32,0.3,0,0
Emre Can,Borussia Dortmund,GER,"DF,MF",26,28,23,2133,1,4,0,0,0.03,0.1,5,0
Gio Reyna,Borussia Dortmund,USA,"FW,MF",17,32,23,1976,4,5,0,0,0.2,0.2,1,0
Jude Bellingham,Borussia Dortmund,ENG,MF,17,29,19,1697,1,3,0,0,0.16,0.18,6,1
Roman Bürki,Borussia Dortmund,SUI,GK,29,19,18,1665,0,0,0,0,0.0,0.0,0,0
Julian Brandt,Borussia Dortmund,GER,"FW,MF",24,31,17,1495,3,2,0,0,0.18,0.17,0,0
Thomas Meunier,Borussia Dortmund,BEL,DF,28,21,17,1472,1,1,0,0,0.06,0.1,3,0
Marwin Hitz,Borussia Dortmund,SUI,GK,32,16,16,1395,0,0,0,0,0.0,0.0,1,0
Mahmoud Dahoud,Borussia Dortmund,GER,MF,24,21,15,1258,1,1,0,0,0.04,0.08,2,0
Thomas Delaney,Borussia Dortmund,DEN,MF,28,20,14,1286,1,1,0,0,0.03,0.01,6,0
Axel Witsel,Borussia Dortmund,BEL,MF,31,15,13,1130,0,0,0,0,0.08,0.05,4,0
Mateu Morey,Borussia Dortmund,ESP,DF,20,13,10,829,0,2,0,0,0.01,0.07,1,0
Thorgan Hazard,Borussia Dortmund,BEL,"FW,MF",27,16,8,654,1,3,0,0,0.08,0.39,0,0
Nico Schulz,Borussia Dortmund,GER,DF,27,13,6,610,0,0,0,0,0.02,0.05,1,0
Łukasz Piszczek,Borussia Dortmund,POL,DF,35,11,5,455,0,0,0,0,0.0,0.06,0,0
Felix Passlack,Borussia Dortmund,GER,DF,22,7,3,362,1,0,0,0,0.23,0.06,0,0
Dan-Axel Zagadou,Borussia Dortmund,FRA,DF,21,9,3,276,0,0,0,0,0.01,0.0,0,0
Youssoufa Moukoko,Borussia Dortmund,GER,"FW,MF",15,14,2,422,3,0,0,0,0.59,0.15,0,0
Reinier,Borussia Dortmund,BRA,"MF,FW",18,14,1,257,1,1,0,0,0.3,0.14,0,0
Ansgar Knauff,Borussia Dortmund,GER,"FW,MF",18,4,0,71,1,1,0,0,0.12,1.23,0,0
Steffen Tigges,Borussia Dortmund,GER,FW,22,6,0,56,0,0,0,0,0.26,0.0,0,0
Péter Gulácsi,RB Leipzig,HUN,GK,30,33,33,2970,0,0,0,0,0.0,0.0,0,0
Dayot Upamecano,RB Leipzig,FRA,DF,21,29,27,2330,1,0,0,0,0.04,0.04,6,0
Dani Olmo,RB Leipzig,ESP,"MF,FW",22,32,26,2194,5,9,1,1,0.31,0.2,1,0
Willi Orban,RB Leipzig,HUN,DF,27,29,25,2363,4,1,0,0,0.13,0.03,4,0
Angeliño,RB Leipzig,ESP,"DF,FW",23,26,24,2161,4,4,0,0,0.16,0.21,2,0
Marcel Sabitzer,RB Leipzig,AUT,MF,26,27,24,2026,8,3,4,4,0.32,0.1,8,0
Kevin Kampl,RB Leipzig,SVN,MF,29,27,24,1932,0,1,0,0,0.05,0.09,6,0
Amadou Haidara,RB Leipzig,MLI,"MF,DF",22,31,21,1905,3,1,0,0,0.21,0.12,4,0
Tyler Adams,RB Leipzig,USA,"DF,MF",21,27,21,1850,1,1,0,0,0.04,0.04,3,0
Nordi Mukiele,RB Leipzig,FRA,DF,22,28,21,1677,3,1,0,0,0.12,0.08,5,0
Emil Forsberg,RB Leipzig,SWE,"FW,MF",28,29,20,1539,7,4,2,3,0.34,0.31,0,0
Christopher Nkunku,RB Leipzig,FRA,"FW,MF",22,28,19,1892,6,6,0,0,0.37,0.36,2,0
Marcel Halstenberg,RB Leipzig,GER,DF,28,24,19,1651,2,2,1,1,0.1,0.14,2,0
Lukas Klostermann,RB Leipzig,GER,DF,24,23,15,1446,1,0,0,0,0.05,0.03,2,0
Yussuf Poulsen,RB Leipzig,DEN,FW,26,27,14,1354,5,4,0,0,0.33,0.19,1,0
Alexander Sørloth,RB Leipzig,NOR,FW,24,29,13,1443,5,3,0,1,0.4,0.14,2,0
Justin Kluivert,RB Leipzig,NED,FW,21,19,8,813,3,1,0,0,0.4,0.14,2,0
Ibrahima Konaté,RB Leipzig,FRA,DF,21,14,8,695,1,0,0,0,0.06,0.0,2,0
Benjamin Henrichs,RB Leipzig,GER,"DF,MF",23,13,5,540,0,1,0,0,0.04,0.09,3,0
Hwang Hee-chan,RB Leipzig,KOR,"FW,MF",24,18,3,460,0,1,0,0,0.31,0.17,2,0
Lazar Samardzic,RB Leipzig,GER,"MF,FW",18,7,2,200,0,1,0,0,0.01,0.21,0,0
Josep Martinez,RB Leipzig,ESP,GK,22,1,1,90,0,0,0,0,0.0,0.0,0,0
Konrad Laimer,RB Leipzig,AUT,"DF,FW",23,3,1,84,0,0,0,0,0.41,0.0,0,0
